iter	Passed	Remaining
0	10	1072
1	21	1047
2	34	1100
3	43	1043
4	55	1062
5	65	1028
6	75	1009
7	86	991
8	95	968
9	106	959
10	117	950
11	129	946
12	140	937
13	150	925
14	161	917
15	172	905
16	184	898
17	195	888
18	205	877
19	217	868
20	228	858
21	239	849
22	250	838
23	261	828
24	273	820
25	284	810
26	296	801
27	307	791
28	318	779
29	330	771
30	342	761
31	354	752
32	365	742
33	376	730
34	388	721
35	400	711
36	411	700
37	423	690
38	433	678
39	445	668
40	457	658
41	469	648
42	479	635
43	490	624
44	501	612
45	513	602
46	523	589
47	534	578
48	544	566
49	555	555
50	566	543
51	576	532
52	587	520
53	598	509
54	608	497
55	619	486
56	630	475
57	640	463
58	650	452
59	661	440
60	673	430
61	683	418
62	696	408
63	706	397
64	717	386
65	729	375
66	740	364
67	751	353
68	762	342
69	772	331
70	783	319
71	794	308
72	805	297
73	816	286
74	828	276
75	839	265
76	850	254
77	861	242
78	872	231
79	884	221
80	896	210
81	905	198
82	917	187
83	929	177
84	939	165
85	950	154
86	962	143
87	972	132
88	983	121
89	993	110
90	1003	99
91	1013	88
92	1024	77
93	1035	66
94	1047	55
95	1057	44
96	1068	33
97	1079	22
98	1090	11
99	1101	0
